filestem	chapter	unit_of_analysis	actor_configuration	narrative_framing	legitimation_strategy	enemy_moral_status	embodiment_mode	violence_visibility	agency_level	narrative_summary	confidence_score
512_1940	9	video_chapter	collective_military	administrative_normality;inevitable_victory	none	weaker_enemy	disciplined_masculinity;neutral_military_presence	absent	high	High-ranking German officers, including Hitler and his generals, are depicted calmly and purposefully planning operations following the defeat of French forces. The narration celebrates a historical victory with no visible violence, constructing the enemy as definitively defeated and positioning German military leaders as confident, authoritative figures within an orderly command structure.	0.96
512_1940	10	video_chapter	collective_military	sacrificial_martyrdom;inevitable_victory	none	none	wounded_body;emotionally_restrained	implied	high	The narrative frames the wounded soldiers as heroic, having sacrificed their blood for a glorious victory that inspires enthusiasm both at the front and at home. The visual focus on injured military personnel reinforces the theme of collective sacrifice and restrained emotional strength, with no direct depiction of violence or the enemy.	0.94
512_1940	11	video_chapter	collective_military	inevitable_victory;administrative_normality	none	weaker_enemy	neutral_military_presence	absent	medium	The chapter visually depicts large groups of disciplined soldiers gathered in an orderly fashion, with no signs of violence or wounded bodies, reinforcing a sense of collective military presence and a normalized occupation. The narration emphasizes a historic surrender by the French, framing the enemy as weaker and the German position as dominant and inevitable. The legitimation strategy is absent, focusing instead on the administrative announcement of victory.	0.95
512_1940	13	video_chapter	collective_military;civilian_collective	comradely_front;heroic_combat;administrative_normality	none	legitimate_opponent	disciplined_masculinity;emotionally_restrained	absent	high	The chapter stages a ceremonial honoring of German soldiers at the Tomb of the Unknown Soldier in Paris, with disciplined troops, officers, and attentive civilians. The narration emphasizes mutual respect between former enemies and the heroism of decorated soldiers, presenting the military as highly disciplined and emotionally restrained. No violence is depicted, and the enemy is referenced respectfully as a legitimate, brave opponent.	0.98
512_1940	14	video_chapter	collective_military;enemy_focus	comradely_front;administrative_normality	preventive;defensive	legitimate_opponent	disciplined_masculinity;neutral_military_presence	absent	high	This chapter depicts German soldiers in disciplined, orderly formations, emphasizing unity and collective military strength. The narration frames the armistice negotiations as a justified, necessary act to prevent further conflict and correct past wrongs, with German soldiers presented as both militarily effective and restrained. The French enemy is depicted as a formal negotiating partner rather than a dehumanized foe, and violence is notably absent from the imagery.	0.95
521_1940	1	video_chapter	collective_military	administrative_normality	none	none	disciplined_masculinity;neutral_military_presence	absent	medium	The chapter depicts ceremonial and orderly military activity centered on the Bulgarian Labor Service's presence in Berlin, emphasizing routine and discipline. Both the imagery and narration underscore the normalized integration of service—military or labor—without invoking violence or constructing an enemy. The focus is on administrative ceremony, collective discipline, and the peaceful representation of armed forces.	0.97
521_1940	4	video_chapter	collective_military;civilian_collective	technological_modernity;administrative_normality	none	none	neutral_military_presence;disciplined_masculinity	absent	medium	The chapter presents an orderly, technologically advanced process of bomb production by disciplined and focused workers, both male and female, in an industrial-military setting. No direct violence or enemy is depicted, with the narrative highlighting efficiency and modernity, centering on collective labor for the war effort. The absence of explicit justification or enemy construction positions this as a neutral, normalized aspect of wartime industry.	1.0
521_1940	6	video_chapter	collective_military;civilian_collective	occupation_normalization;administrative_normality	none	none	neutral_military_presence	absent	medium	The newsreel frames the return to order in Alsace as a peaceful process, highlighting everyday rural life and friendly relations between German soldiers and the local ethnic German population. There is no depiction of violence or opposition, and the soldiers are presented as benign stabilizers, facilitating normalcy and integration. The overall narrative normalizes occupation, omitting any sense of conflict or enemy presence.	0.96
521_1940	7	video_chapter	collective_military	administrative_normality	none	none	disciplined_masculinity;neutral_military_presence	absent	medium	The chapter depicts soldiers collectively engaging in summer sports during their leisure time, highlighting a sense of normalcy and camaraderie within the military. There is no representation of violence, the enemy, or explicit legitimation of military action, instead foregrounding disciplined, healthy bodies in a neutral context.	1.0
521_1940	8	video_chapter	enemy_focus	civilizational_struggle	ideological	criminalized_enemy;dehumanized_enemy	none	absent	none	The chapter visually centers on symbolic decorations and murals within a Paris Masonic lodge, lacking any human bodily presence or depictions of violence. The narration criminalizes and dehumanizes Freemasons, portraying them as agents of clandestine, harmful transactions benefiting a corrupt international elite and causing widespread suffering, framing the conflict as an ideological and civilizational struggle. The absence of soldiers or direct conflict further shifts the focus onto the enemy’s alleged subversive threat.	0.95
521_1940	10	video_chapter	collective_military	comradely_front;technological_modernity	none	none	disciplined_masculinity;emotionally_restrained	absent	medium	The chapter depicts Hitler Youth collectively engaging in daily routines and technical training in a camp setting, emphasizing camaraderie, discipline, and practical skills, particularly with motorcycles. There is no enemy presence or violence, and the focus remains on youthful masculinity and orderly group activity, supported by narration highlighting courage and achievement within the group.	0.97
521_1940	11	video_chapter	collective_military	technological_modernity;heroic_combat	none	none	disciplined_masculinity;neutral_military_presence	absent	high	The video chapter presents a disciplined group of Kriegsmarine trainees engaged in technical and operational exercises, emphasizing collective skill and technological competence. Narration frames these preparations as laying the groundwork for future heroic combat, asserting that thorough training ensures success. No enemy is visually depicted or morally positioned, and violence is entirely absent, focusing the narrative on readiness and professionalism.	1.0
521_1940	12	video_chapter	collective_military	heroic_combat;technological_modernity;inevitable_victory	retaliatory	criminalized_enemy	disciplined_masculinity;emotionally_restrained;wounded_body	implied	high	The video chapter depicts German airmen as a disciplined, technologically advanced collective receiving orders and preparing for combat. The narration emphasizes their destructive effectiveness and frames the British as deserving of destruction due to their leadership's actions, positioning the enemy as criminally responsible. Violence is implied through references to bombing and damage to enemy ships and facilities, while German soldiers are presented as heroic and emotionally restrained.	0.95
620_1942	1	video_chapter	collective_military	technological_modernity;comradely_front;administrative_normality	none	weaker_enemy	disciplined_masculinity;neutral_military_presence	implied	high	This video chapter presents the logistical mobilization of German and Italian forces for the North African campaign, emphasizing disciplined military order and technological capability. While enemy presence is referenced through images of sunken British ships, violence and combat are implied rather than shown, with visual and verbal attention given to camaraderie and efficient coordination. The depiction constructs the German and allied military as methodical and superior, with little explicit enemy characterization or justificatory narrative.	0.95
620_1942	2	video_chapter	collective_military	heroic_combat;administrative_normality	none	weaker_enemy	disciplined_masculinity;neutral_military_presence	implied	high	This video chapter portrays the German and Italian military as a highly organized, disciplined collective, emphasizing logistical achievement and control over territory. Heroic language describes the storming of enemy defenses and the capture of thousands of British soldiers, presenting the enemy as ultimately weaker and defeated. Visuals of transportation, landscapes, and the erasure of English signs support an image of normalized occupation and assertive military order, with violence only implied and not shown.	0.93
620_1942	3	video_chapter	collective_military;enemy_focus	heroic_combat;defensive_war;inevitable_victory	defensive	weaker_enemy	disciplined_masculinity;neutral_military_presence	implied	high	This chapter depicts disciplined German military forces manning tanks and anti-aircraft batteries, visually reinforcing collective preparedness and technological might. The narration frames the action as a defensive and victorious confrontation against British air raids, emphasizing the strength of German pilots and the inferiority of the enemy. Violence is present but mostly implied through descriptions of aerial combat and wrecked enemy planes, rather than through direct visual depictions of death or injury.	0.95
620_1942	4	video_chapter	collective_military	heroic_combat;inevitable_victory;technological_modernity;comradely_front	none	legitimate_opponent;weaker_enemy	disciplined_masculinity;neutral_military_presence	implied	high	This chapter presents German U-Boat crews as a disciplined, technologically adept collective engaged in a relentless and victorious campaign against enemy shipping. The narrative frames the war as one of continuous military prowess and success, with enemy losses emphasized and German operations depicted as both orderly and triumphant. Violence is implied through references to the sinking of ships, but not shown; the enemy is acknowledged mainly in terms of material losses and strategic inferiority.	0.95
620_1942	5	video_chapter	collective_military;civilian_collective;enemy_focus	heroic_combat;administrative_normality;occupation_normalization	none	criminalized_enemy	disciplined_masculinity;neutral_military_presence	implied	high	The chapter blends images of German soldiers advancing through destroyed urban areas, securing positions, and engaging in everyday activities with a narration emphasizing the conquest of a key Soviet industrial city after fierce resistance. The enemy is constructed as criminal, with Bolshevists accused of destruction and sabotage, while German forces are shown as victorious, disciplined, and normalized occupiers. Civilian labor and normalization efforts are briefly highlighted amid the implied violence of battle and destruction.	0.95
620_1942	6	video_chapter	collective_military	heroic_combat;inevitable_victory	none	criminalized_enemy;weaker_enemy	disciplined_masculinity;neutral_military_presence	implied	high	The video chapter depicts disciplined and cooperative German and allied soldiers, primarily as a collective military force, advancing and engaging the enemy with methodical precision. The narration frames the combat as heroic and emphasizes continuous victory, portraying Soviet forces as both weakened and criminalized adversaries suffering defeat. Though violence is implied through burning vehicles and destruction, direct violence is largely absent visually; the overall narrative stresses German martial superiority and relentless advance.	0.95
621_1942	1	video_chapter	collective_military	defensive_war;technological_modernity;administrative_normality	defensive;preventive	existential_threat	disciplined_masculinity;emotionally_restrained;neutral_military_presence	implied	high	The chapter depicts German military forces constructing and reinforcing Atlantic coastal defenses, presented as an organized and modern collective prepared for any enemy aggression. The narration frames these actions as a defensive and preventive response to the existential threat posed by western democracies and Bolshevism, emphasizing readiness and discipline. Violence is implied through imagery of artillery and references to combat scenarios, but not directly shown.	0.97
621_1942	2	video_chapter	collective_military	defensive_war;comradely_front	defensive	legitimate_opponent	disciplined_masculinity;neutral_military_presence	implied	high	The chapter depicts disciplined, adult soldiers in organized military settings, emphasizing collective effort and operational readiness. The narration frames their actions as necessary defensive measures against a legitimate enemy, highlighting past defensive battles and unity within military ranks. No explicit violence is shown; instead, the military is portrayed as vigilant and steadfast, reinforcing a comradely and defensive narrative.	0.9
621_1942	3	video_chapter	collective_military;enemy_focus	heroic_combat;inevitable_victory	none	criminalized_enemy;weaker_enemy	disciplined_masculinity;emotionally_restrained;wounded_body	implied	high	This chapter frames the German military as a disciplined and effective collective, overcoming 'criminalized' and weakened Soviet forces through determined combat. The visuals emphasize both restraint and masculine discipline, alongside depictions of enemy surrender and exhaustion. The narrative focuses on the heroic struggle and inevitable victory without explicit justification, portraying the enemy as both duplicitous and ultimately powerless.	0.95
621_1942	4	video_chapter	collective_military;enemy_focus	heroic_combat;inevitable_victory	defensive	criminalized_enemy;weaker_enemy	disciplined_masculinity;neutral_military_presence	implied	high	The video chapter portrays the German military as a disciplined and highly effective collective force achieving decisive victories over retreating and demoralized Soviet ('Bolshevist') forces. The narration frames the combat as heroic and claims a defensive motivation while criminalizing and weakening the enemy. Violence is implied through imagery of ruined tanks and advancing troops, with material destruction shown but direct violence largely absent.	0.95
621_1942	5	video_chapter	collective_military	heroic_combat;inevitable_victory;comradely_front	none	criminalized_enemy;weaker_enemy	disciplined_masculinity;neutral_military_presence	implied	high	This chapter presents the German and allied soldiers as disciplined, relentless, and collectively effective in their advance across the Eastern Front. The narration emphasizes overwhelming victories, heavy enemy losses, and the steadfastness of the troops under challenging conditions, constructing the enemy as both desperate and criminalized. Violence is implied through references to destruction and battle, but not graphically shown, reinforcing the framing of collective military heroism and inevitability of victory.	1.0
621_1942	6	video_chapter	collective_military	heroic_combat;defensive_war;comradely_front	defensive	criminalized_enemy;dehumanized_enemy	disciplined_masculinity;wounded_body;emotionally_restrained	implied	high	The chapter depicts German troops advancing in coordinated formations, responding to Soviet attacks and overcoming obstacles. The narration frames the Germans as disciplined, heroic, and resilient under fire, with wounded soldiers swiftly aided and combat actions described as necessary responses to enemy provocation. The Soviets are portrayed as persistent but villainous opponents, while violence is present but primarily implied rather than graphically shown.	0.95
621_1942	7	video_chapter	collective_military;enemy_focus	heroic_combat;inevitable_victory	none	criminalized_enemy;weaker_enemy	disciplined_masculinity;neutral_military_presence	implied	high	This chapter depicts disciplined, determined German soldiers advancing, securing territory, and capturing numerous Soviet prisoners. The narration frames the combat as heroic and portrays victory as inevitable, while visually and textually casting the enemy as a disorganized, criminal, and ultimately weaker force. Violence is implied through explosions and prisoner capture, though not directly shown.	0.95
621_1942	8	video_chapter	collective_military	heroic_combat;inevitable_victory	none	weaker_enemy	disciplined_masculinity;neutral_military_presence	implied	high	The chapter depicts disciplined and organized German military units advancing with tanks and heavy weapons toward Rostov, overcoming enemy fortifications and resistance. Combat is shown primarily through mechanized movement and explosions, portraying German forces as unstoppable and superior, while the enemy appears implicitly outmatched. The narrative constructs the offensive as a heroic and inevitable victory, omitting explicit justification for the operation.	0.95
621_1942	9	video_chapter	collective_military	heroic_combat;inevitable_victory	none	legitimate_opponent	disciplined_masculinity;neutral_military_presence	implied	high	This chapter depicts the German military as a disciplined, collective force advancing methodically through a heavily fortified city. The narration emphasizes the bitter, street-by-street combat and the strategic importance of capturing Rostov, presenting the conquest as a decisive victory in the face of legitimate enemy resistance. While direct violence is not shown, its consequences, such as destruction and urban battle aftermath, are visually evident.	0.95
622_1942	1	video_chapter	collective_military;individual_hero	comradely_front;administrative_normality	none	none	disciplined_masculinity;neutral_military_presence	absent	high	This chapter highlights the visit of the Duce to Axis troops in North Africa, focusing visually on orderly, disciplined soldiers and enthusiastic collective gatherings. The narration emphasizes administrative inspection, coordination, and morale building activities rather than combat or direct confrontation with an enemy. The chapter constructs a unified military front and leadership presence, completely omitting violence or enemy depiction.	0.95
622_1942	2	video_chapter	collective_military	heroic_combat;defensive_war;comradely_front;inevitable_victory	defensive;none	weaker_enemy;criminalized_enemy	disciplined_masculinity;neutral_military_presence	implied	high	The chapter presents a disciplined, masculine, and collective military force, highlighting logistical efficiency, coordination, and combat success in North Africa. The narration positions the Axis as overcoming British sabotage and routing a fleeing, weakened enemy, emphasizing both heroic combat and defensive measures. Visuals reinforce order and invulnerability, while violence is only implied, contributing to a narrative of inevitable Axis victory.	0.95
